State,Population,Literacy_Rate,Area (sq miles),Crime_Rate_2018,Crime_Rate_2019,Crime_Rate_2020,Crime_Rate_2021,crime_types
Alabaster,4071934,71.04502484567085,75282,24.207540940153766,49.32299897568597,6.129792612302104,47.33562920606837,Prostitution
Birchwood,3736079,81.53757443749026,48180,0.1763107833071098,1.9199227450364287,20.852806197193193,6.447427919824644,Credit Card Fraud
Coral Springs,8561037,97.53310326356251,75477,48.991902227805895,19.590637145847495,21.014260467905377,21.944465169336247,Human Trafficking
Dandelion,1677009,84.76192138589091,62721,28.22292851934394,45.320562726610994,23.61046581636132,21.11295761078602,Money Counterfeiting
Elmdale,1378307,88.44634160156293,31601,33.96386383912275,46.85402379649635,31.36482030322879,9.791291983731693,Prostitution
Featherstone,2035471,97.51822839582519,82661,15.433627953892248,34.30856174149917,5.679949077328694,27.2716682045494,Illegal Gambling
Gladeville,3070740,82.60018422577362,49513,26.14120800465875,3.8230674316241444,24.571172549878305,4.369479413837096,DUI (Driving Under the Influence)
Harmony Hills,940386,84.84339548233518,7191,0.32086345080869494,26.96602060121014,47.14472596070927,0.7724663087203432,Stolen Property
Ivoryville,468092,84.06345402164482,3318,23.849497458204322,14.691572726375485,25.24412330876608,1.094426672864146,Stolen Property
Juniper Bay,1632233,73.82038982872244,22668,37.74377949029655,7.582768218949731,30.662032406576817,9.861434625444431,Forgery
Kingston Fields,7228494,92.50853669036394,39248,36.551518081074505,41.017609730977114,21.279912149987474,43.00294505338025,Armed Robbery
Laurel Ridge,8796785,76.14764580959827,12838,36.517992768845424,4.624560975176778,27.78302657382798,33.946843933803905,Terrorism
Maplewood,6560147,73.15883561651671,20877,3.9544966274805917,33.424571569517866,31.994675696685494,9.685509282100929,Terrorism
Nighthaven,5750802,87.64830760874692,8493,8.982858294775331,47.87647964124016,20.49113428752982,0.8089389528807001,Burglary
Oakshire,3977611,79.50610391355976,28776,16.44273550817409,28.718981330687566,37.20251507613646,37.40180767130166,Public Intoxication
Pinecrest,8674779,81.90495966407916,53138,30.13537299228218,15.671831095116467,39.41874033293312,0.3529289635729904,Trespassing
Quail Hollow,6652079,79.19520861661707,10367,4.986454485903769,25.73345692944197,10.968551528692167,22.319802194114462,Criminal Mischief
Rosewood,4012915,89.41733064130455,43786,27.583514392275138,44.423428434279295,22.619602662018266,1.7042944570523744,Environmental Crime
Sycamore Falls,917640,96.00007632591455,1114,47.93118910823617,25.511477297334867,14.893398335375712,34.9758546373564,Identity Theft
Tranquil Springs,9164353,80.58807147948697,63599,31.710093844674446,10.775240120611096,7.232460296511572,47.56598167764978,Insurance Fraud
Uptown Grove,9517519,95.04982353015912,59823,16.88431693731601,17.575478418757278,44.9933180286306,39.53638268702433,Narcotics Trafficking
Velvet Valley,1654374,83.27953094982409,81160,35.99123726358071,3.0638581553448727,10.047167832704023,21.784792864036863,Stolen Property
Whispering Pines,9214327,88.48479540122784,85349,15.36276377740376,3.315451503577871,45.64177897575486,42.300599075232185,Extortion
Xanadu,6893983,88.65883143342415,13392,48.374032489343506,29.239665875022446,8.294286255939449,15.78827818606518,Gang Violence
Yellowleaf,6694491,87.443451332692,49735,3.2567708545239658,10.962865502102803,1.354921408134424,34.61755906974867,Stolen Property
Zenith,6654568,95.05331150332606,95589,13.89742973755101,43.158169209844374,32.35612978094914,23.67936197474867,Environmental Crime
Ambrosia,1865931,75.5406860086124,90547,11.468944929322955,38.55355908054361,46.644930219618296,45.67487094768882,Armed Robbery
Blissfield,9864856,94.3654585843048,20678,25.098993425772097,11.875650508894815,44.11058385353287,35.09710044909603,Prostitution
Celestial City,5061266,95.21871988960653,25366,16.284373442325567,19.23733525900796,44.5991145768869,18.919558942273152,Vandalism
Daydream Beach,482469,70.27608432139986,30209,9.924049773402427,24.381800196825836,14.05349713050567,33.3688684576288,Prostitution
Evergreen Haven,9453897,86.30786684481353,60793,11.733964381411422,14.9988495995381,11.04242001106156,28.469114751479424,White Collar Crime
Fantasyland,5694062,83.18839965976468,47615,9.186077976542295,10.823726989716963,35.780080129090855,13.44035071370432,Tax Evasion
Golden Gate,6539180,94.79011665261811,76541,0.9167678035361893,19.63008724603489,8.979457159879939,17.252377697728388,Piracy
Horizon Heights,2971481,99.4207743733292,55718,11.519877702443287,6.902106579938599,44.4775313801044,42.295493381525915,Fraud
Infinity Isle,6117530,98.01131108070129,28661,26.853367933159937,43.44286616255111,5.595412722033161,2.923951352021165,Drug Possession
Jasmine Springs,4135333,84.37262593237891,62568,21.096113832718537,23.90843897972255,31.983701223572048,17.45402723549374,Fraud
Kaleidoscope Meadows,3410534,98.95177923424698,99285,33.32573278852763,20.798950425479894,34.20016497173059,0.28437098083570755,Human Trafficking
Luminosity,7038556,94.9411835908066,25681,6.647041226737965,48.601215378974686,1.9701481227722528,36.799418151686545,Vandalism
Mystic Marsh,2940050,95.09689896549338,80700,47.01486780327176,13.069568652256331,48.04877783793353,16.666231320447366,Fraud
Nebula Heights,3379332,87.57663741932839,25781,23.882105479690917,43.301085214516554,13.397627049967447,34.437711206868364,Public Intoxication
Opal Oasis,6514418,90.44583512836307,73189,13.876548416579348,12.286730067110824,16.681382966734198,11.01547701420007,Public Disorder Offenses
Prism Peaks,9878387,86.01759698354141,14048,47.25001716829178,39.932126313223634,23.121876310838,49.20155149769005,Arson
Quasar Quay,6120553,82.05104570953112,34324,19.58168900301945,47.68436821089775,38.210562122541404,49.01671348303175,Environmental Pollution
Radiant Ridge,8129945,88.73009398849197,60247,30.260502113900074,41.25160038152424,36.036476023643324,12.704442610737571,Gang Violence
Starlight Shore,2761931,94.85138525862419,46491,44.441176946303635,4.5157882466857755,38.99596918722409,17.668960943798197,Public Corruption
Twilight Terrace,1961272,76.43218630073962,45208,34.90980723445452,26.352830755520852,43.64305235047748,43.286035486387945,Illegal Fishing
Utopia,9557203,88.91474317519562,22788,18.357800719587736,14.60179181313937,46.5473383381493,43.108299478176114,Burglary
Vibrant Valley,5142906,78.750019232734,12237,13.205761236846419,12.883302135674302,24.92041236722174,31.91474978320199,Cybercrime
Willow Creek,7306471,76.7726471465426,22613,32.11781030792132,0.8531217125780699,32.63618120947088,8.219985309471028,Sexual Assault
Zen Garden,5250790,82.53311793771238,65321,9.743515785284075,28.672675585189523,39.95476190483627,16.986620812109653,Arson
Astral Acres,9436239,81.76378703378592,99486,8.017717887026137,35.93704601094049,2.1941260494393653,24.193523415452567,Kidnapping
Breezy Bay,6603554,81.2557050708486,61237,48.46635137918734,21.900151260395127,36.76956536871941,19.06458474582643,Shoplifting
Crystal Cove,6618710,95.32762233633676,46772,35.66021926540736,2.619390598445759,27.627827048584685,49.95314796986963,Armed Robbery
Dreamland Delight,1651825,95.00739499496657,90912,1.7002163137612214,15.479690704353837,16.606748696513034,28.28729587676947,Counterfeiting
Enchanted Estates,271687,70.62810216033682,58592,3.6327177860500495,49.802474583883175,15.25535505780704,10.919678638006951,White Collar Crime
Fable Fields,4293176,71.38727505701026,77770,44.18312222137589,38.67282117121052,25.120632236262164,34.139241854704224,Human Rights Violations
Glittering Glades,4930059,84.49360592988388,12218,10.47082130199905,17.71583940875599,44.74509390485505,22.63113871868133,Gang Violence
Heavenly Haven,9277075,82.09260707836111,46894,31.798954371693057,27.292310666248426,6.350200962662966,15.55840586429399,Identity Theft
Iridescent Isle,6837696,95.03516045545365,74798,25.085212445915523,30.2715310832234,20.726884705243652,3.5055457565201564,Armed Robbery
Jovial Junction,5779527,84.39346814160604,26143,20.779458074030003,31.619481769782077,25.57373305219992,41.531633880398374,Drug Possession
Kismet Knolls,3636994,88.31405927617179,6421,40.12171628246746,34.602809720452434,23.30696747040022,11.38641896175323,Car Theft
Lullaby Lane,6224262,90.93853236098138,87792,36.827923455540414,44.30480333188972,11.750701871850849,28.721011398420394,Human Rights Violations
Moonlit Meadows,6242069,86.54193775259908,47919,26.00633014274598,6.485324913619755,22.90180679941038,9.302880485700838,Drug Trafficking
Nova Nook,2298651,82.76974703754983,39043,40.46620636984299,5.721385169919769,1.3824787823728146,25.89088919320528,Shoplifting
Oasis Outlook,2073554,75.03104747495736,53119,23.556112412511165,14.037383377675166,33.91250996348562,48.18129370934031,Public Intoxication
Pristine Peaks,4721087,87.59895874224767,26628,34.2785590850157,30.967378070983248,49.54838762793545,38.050755417946654,Embezzlement
Quixotic Quarry,7677934,77.99333148479576,22079,25.6067541316635,8.699724639542866,18.52111042319744,49.22244874825494,Public Corruption
Radiant Ranch,2666721,70.2770562113285,52613,43.194947787835424,34.80777220479112,9.012439260753663,15.056442593955627,Car Theft
Serenity Springs,161554,75.03651408721709,82980,18.3061736182599,23.255741196457315,29.63761683827684,29.568774374248214,Credit Card Fraud
Tranquility Trail,2557228,78.32730823881363,30277,42.95561836595259,32.15459050140083,45.49810156692316,1.9599816039954754,Public Disorder Offenses
Unison Uplands,4843597,83.90072831416192,90385,27.861360933642132,38.419826326942385,15.71712613034374,49.970972211642675,Forgery
Velvet Vista,5406061,86.13355484193337,45069,5.564055393101791,20.317951827867297,9.038597691923956,32.376364166385294,Piracy
Whimsical Woods,7348419,99.05159016034801,18984,45.49053828869958,16.184713167445558,10.231259271989646,34.21149056472066,Arson
